Pixel X	Pixel Y	X, мм	Y, мм	Энергия, кэВ
5000	0	0	-50	0
5000	1	0	-49.99	312949.269683446
5000	2	0	-49.98	312967.962597488
5000	3	0	-49.97	312863.609570459
5000	4	0	-49.96	328262.570802522
5000	5	0	-49.95	298846.139171932
5000	6	0	-49.94	256728.283295507
5000	7	0	-49.93	314773.261728013
5000	8	0	-49.92	272758.790505241
5000	9	0	-49.91	292815.114803943
5000	10	0	-49.9	299937.925997103
5000	11	0	-49.89	294925.757047645
5000	12	0	-49.88	278877.582836071
5000	13	0	-49.87	274313.82097497
5000	14	0	-49.86	307195.534525423
5000	15	0	-49.85	322160.833693649
5000	16	0	-49.84	282814.595534385
5000	17	0	-49.83	322509.754717206
5000	18	0	-49.82	304874.933572223
5000	19	0	-49.81	302075.155297626
5000	20	0	-49.8	262760.760616001
5000	21	0	-49.79	288514.613958583
5000	22	0	-49.78	323993.016291838
5000	23	0	-49.77	380558.409793073
5000	24	0	-49.76	319624.528438745
5000	25	0	-49.75	319094.579953413
5000	26	0	-49.74	341070.531406388
5000	27	0	-49.73	342108.263587437
5000	28	0	-49.72	340027.678904001
5000	29	0	-49.71	335069.184715805
5000	30	0	-49.7	305964.755755177
5000	31	0	-49.69	293507.004278129
5000	32	0	-49.68	273302.20530645
5000	33	0	-49.67	300283.789345408
5000	34	0	-49.66	243549.478654518
5000	35	0	-49.65	263306.21760885
5000	36	0	-49.64	249814.158077598
5000	37	0	-49.63	237710.595782101
5000	38	0	-49.62	247284.071795732
5000	39	0	-49.61	249351.903270608
5000	40	0	-49.6	276508.752519814
5000	41	0	-49.59	334432.862961173
5000	42	0	-49.58	336766.265538826
5000	43	0	-49.57	313129.701119661
5000	44	0	-49.56	310328.260055932
5000	45	0	-49.55	315981.512224928
5000	46	0	-49.54	264849.457339138
5000	47	0	-49.53	292905.951907466
5000	48	0	-49.52	257858.631959177
5000	49	0	-49.51	240763.977663429
5000	50	0	-49.5	247347.885334748
5000	51	0	-49.49	281482.375573009
5000	52	0	-49.48	271332.798541533
5000	53	0	-49.47	257892.594867769
5000	54	0	-49.46	275587.77899365
5000	55	0	-49.45	292076.122625427
5000	56	0	-49.44	299111.029170671
5000	57	0	-49.43	311565.420492857
5000	58	0	-49.42	318165.090904058
5000	59	0	-49.41	299670.363039869
5000	60	0	-49.4	279472.078204902
5000	61	0	-49.39	289189.571733414
5000	62	0	-49.38	305474.005907302
5000	63	0	-49.37	360302.451092351
5000	64	0	-49.36	373989.054010152
5000	65	0	-49.35	340327.161180028
5000	66	0	-49.34	352812.332569203
5000	67	0	-49.33	343112.915397468
5000	68	0	-49.32	339166.638298426
5000	69	0	-49.31	344090.904461371
5000	70	0	-49.3	327375.110050622
5000	71	0	-49.29	312050.457620766
5000	72	0	-49.28	294468.439924033
5000	73	0	-49.27	274917.44916536
5000	74	0	-49.26	277545.687416784
5000	75	0	-49.25	273788.107546552
5000	76	0	-49.24	272384.320042387
5000	77	0	-49.23	250195.050432378
5000	78	0	-49.22	251600.589355243
5000	79	0	-49.21	259803.343973315
5000	80	0	-49.2	262259.208988861
5000	81	0	-49.19	279203.17834134
5000	82	0	-49.18	332316.621296785
5000	83	0	-49.17	340914.979792317
5000	84	0	-49.16	310926.184084717
5000	85	0	-49.15	306400.601874461
5000	86	0	-49.14	326725.615630173
5000	87	0	-49.13	269824.278564268
5000	88	0	-49.12	297694.523814862
5000	89	0	-49.11	237165.537403533
5000	90	0	-49.1	259376.294581097
5000	91	0	-49.09	253676.944358521
5000	92	0	-49.08	275652.786779524
5000	93	0	-49.07	278648.993407389
5000	94	0	-49.06	277024.628416248
5000	95	0	-49.05	304415.506442586
5000	96	0	-49.04	330291.40030265
5000	97	0	-49.03	330107.121821047
5000	98	0	-49.02	349883.604673557
5000	99	0	-49.01	333547.338261402
5000	100	0	-49	319147.187401044
5000	101	0	-48.99	271471.611460355
5000	102	0	-48.98	284261.957490436
5000	103	0	-48.97	292858.554399546
5000	104	0	-48.96	357686.290967509
5000	105	0	-48.95	356811.773706123
5000	106	0	-48.94	344025.991043783
5000	107	0	-48.93	346547.953215525
5000	108	0	-48.92	370351.757496796
5000	109	0	-48.91	372325.148973149
5000	110	0	-48.9	368395.594299473
5000	111	0	-48.89	344378.840851255
5000	112	0	-48.88	353095.460059121
5000	113	0	-48.87	316306.06643874
5000	114	0	-48.86	351967.535826659
5000	115	0	-48.85	278621.861559768
5000	116	0	-48.84	294616.393367886
5000	117	0	-48.83	262875.2769214
